course_code,name,num_students,prof
LLCU213,The Social History of Organized Crime in Canada,97,Antonio Nicaso
LLCU214,"Mafia Culture and the Power of Symbols, Rituals, and Myth",60,Antonio Nicaso
LLCU248,Introduction to Latin American Cultures,48,Claudio Palomares-Salas
LLCU249,"Latin Lovers: Love, Sex, and Popular Culture",34,Claudio Palomares-Salas
LLCU295,Special Topics,38,Hannah McElgunn
LLCU303,Applied Intercultural Communication,97,Margaret Maliszewska
LATN110,Introductory Latin,26,Beatrice Poletti
LATN209,Intermediate Latin,23,Bernard Kavanagh
LATN421,Advanced Latin Prose,24,Anthony Francis D'Elia
LIBS100,Origins and Practices of Liberal Arts,22,Rebecca Smith
LING100,Introduction to Linguistics,94,Charlotte Reinholtz
LING310,Phonetics,77,Lorena Jessop
LING330,Morphology,35,Bronwyn Bjorkman
LING350,Introduction to Historical Linguistics,96,Bronwyn Bjorkman
MATH110,Linear Algebra,57,Gregory G Smith
MATH112,Introduction to Linear Algebra,80,Kaveh Mousavand
MATH120,Differential and Integral Calculus,32,Michael A Roth
MATH121,Differential and Integral Calculus,67,Nageena Frost
MATH126,Differential and Integral Calculus,37,Abhishek Bharadwaj
MATH130,Mathematics for Biochemistry and Life Sciences,51,Troy Day
MATH210,Rings and Fields,58,Gregory G Smith
MATH212,Linear Algebra ll,80,Zachary Selk
MATH221,Vector Calculus,63,Boris Levit
MATH225,Ordinary Differential Equations,71,Abhishek Bharadwaj
MATH228,Complex Analysis,92,Oleg I Bogoyavlenskij
MATH231,Differential Equations,93,Andrew Lewis
MATH280,Advanced Calculus,51,Thomas Barthelme
MATH281,Introduction to Real Analysis,71,Troy Day
MATH310,Group Theory,26,Michael A Roth
MATH314,Representations of the Symmetric Group,98,Brad Rodgers
MATH326,Functions of a Complex Variable,57,Ivan Dimitrov
MATH331,Advanced Differential Equations,31,Felicia  Magpantay
MATH384,Mathematical Theory of Interest,49,Ping Li
MATH401,Graph Theory,32,Brad Rodgers
