,name,rating_val,num_of_ratings,percent_would_take_again,diff_level,href
175,Kristen Lowitt,3.1,8 ratings,50%,2.5,https://www.ratemyprofessors.com/professor/2762158
176,Christopher Omelon,3.9,7 ratings,86%,3.3,https://www.ratemyprofessors.com/professor/2882028
177,Jenson Price,1.2,5 ratings,0%,4.8,https://www.ratemyprofessors.com/professor/3059964
178,Eric Chalfant,3.5,4 ratings,50%,3.3,https://www.ratemyprofessors.com/professor/3041337
179,Robert Campbell,3.7,17 ratings,50%,3.4,https://www.ratemyprofessors.com/professor/1664723
180,Allen C Head,4.6,10 ratings,100%,2.8,https://www.ratemyprofessors.com/professor/241114
181,Stephen Thomas,4.9,9 ratings,100%,2.2,https://www.ratemyprofessors.com/professor/2748005
182,Masoum Mosmer,4.7,3 ratings,100%,3.7,https://www.ratemyprofessors.com/professor/2825426
183,David A McDonald,4.3,33 ratings,84%,N/A,https://www.ratemyprofessors.com/professor/167770
184,Jan Mennell,3.2,17 ratings,0%,2.4,https://www.ratemyprofessors.com/professor/38294
185,Sue Haywood,1.5,14 ratings,8%,3.9,https://www.ratemyprofessors.com/professor/2704181
186,Sidney Givigi,3.6,8 ratings,63%,3.8,https://www.ratemyprofessors.com/professor/2690325
187,Bhargav Gopal,2.0,8 ratings,38%,2.9,https://www.ratemyprofessors.com/professor/2962436
188,Joshua  Marshall,5.0,1 ratings,100%,N/A,https://www.ratemyprofessors.com/professor/3065282
189,Adam Cotton,4.9,56 ratings,99%,2.9,https://www.ratemyprofessors.com/professor/2282676
190,Shahram Yousefi,4.3,52 ratings,0%,3.1,https://www.ratemyprofessors.com/professor/137661
191,Gabrielle S McIntire,4.5,21 ratings,100%,3.3,https://www.ratemyprofessors.com/professor/413808
192,Amanda Bongers,3.2,12 ratings,59%,3.3,https://www.ratemyprofessors.com/professor/2613232
193,Christopher Kennedy,1.6,8 ratings,0%,4.1,https://www.ratemyprofessors.com/professor/3022178
194,Brooke Cameron,5.0,7 ratings,100%,2.9,https://www.ratemyprofessors.com/professor/2786231
195,Yolande Book,3.0,4 ratings,25%,3.8,https://www.ratemyprofessors.com/professor/2591264
196,Samir Mohammad,2.4,58 ratings,37%,3.5,https://www.ratemyprofessors.com/professor/2519228
197,Ruth Wehlau,3.4,35 ratings,75%,3.3,https://www.ratemyprofessors.com/professor/39722
198,Yuan Tian,2.6,33 ratings,46%,4.1,https://www.ratemyprofessors.com/professor/2684452
199,George diCenzo,2.9,32 ratings,50%,3.6,https://www.ratemyprofessors.com/professor/2646648
200,Diane Beauchemin,2.3,29 ratings,0%,3.9,https://www.ratemyprofessors.com/professor/74970
201,Molly Wallace,2.9,27 ratings,15%,3.2,https://www.ratemyprofessors.com/professor/1114695
202,Douglas A Archibald,2.1,24 ratings,34%,3.8,https://www.ratemyprofessors.com/professor/221426
203,Bradley J Diak,4.0,17 ratings,80%,3.1,https://www.ratemyprofessors.com/professor/113015
204,Cherie Metcalf,3.7,14 ratings,75%,3.4,https://www.ratemyprofessors.com/professor/706457
205,Fady Alajaji,4.2,9 ratings,67%,2.9,https://www.ratemyprofessors.com/professor/1748555
